id_gis,id_rec_dat,name,edar,edar_code,ind,capt,lat,lon
2,1,pt002,,,,,42.28513608,2.556713098
4,2,pt004,,,21,,42.26425076,2.461133154
6,3,pt006,,,,,42.30758833,2.490774429
8,4,pt008,,,,1,42.30190726,2.589028457
10,5,pt010,,,,,42.29880198,2.4366841
12,6,pt012,,,19,,42.31720206,2.587716235
14,7,pt014,,,47,,42.17886365,3.071747297
16,8,pt016,,,45,,42.16808357,2.980085762
18,9,pt018,,,41,,42.16893601,2.893577027
20,10,pt020,,,,,42.19161468,2.850571893
22,11,pt022,,,38,,42.17516438,2.833065233
24,12,pt024,,,36,,42.18073119,2.796746603
26,13,pt026,,,,,42.18318879,2.787057295
28,14,pt028,,,,,42.18985611,2.746187072
30,15,pt030,,,27,,42.19587609,2.722257167
32,16,pt032,BESALÚ,ES9170190001010E,,,42.20147527,2.711640528
34,17,pt034,,,,,42.20100754,2.704682172
36,18,pt036,SANT JAUME DE LLIERCA,ES9171650003010E,,,42.21022151,2.623825417
38,19,pt038,,,,,42.21108018,2.611410545
40,20,pt040,,,16,,42.22096927,2.608019942
42,21,pt042,,,20,,42.26862681,2.595000806
44,22,pt044,,,15,,42.21103429,2.598093028
46,23,pt046,CASTELLFOLLIT DE LA ROCA,ES9170460001010E,,,42.22165833,2.550497383
48,24,pt048,,,,,42.22255361,2.549280105
50,25,pt050,,,14,,42.21550187,2.530260257
52,26,pt052,,,50,,42.21745755,2.513596846
54,27,pt054,,,,,42.1886399,2.509884426
56,28,pt056,,,8,,42.18883496,2.502923789
58,29,pt058,,,49,,42.12512837,2.447804897
60,30,pt060,,,,,42.21551815,2.662842128
62,31,pt062,,,,,42.21643741,2.486058737
64,32,pt064,,,13,,42.21170414,2.484281032
66,33,pt066,,,30,,42.17611536,2.739586779
68,34,pt068,,,,,42.16034668,2.648618262
70,35,pt070,,,11,,42.21592696,2.472744073
72,36,pt072,,,31,,42.12804339,2.682652428
74,37,pt074,,,2,,42.14241436,2.439491284
76,38,pt076,,,35,,42.14661066,2.645368159
78,39,pt078,,,28,,42.18127745,2.705673262
80,40,pt080,,,,,42.18946863,2.40106693
82,41,pt082,,,,,42.19413204,2.746472561
84,42,pt084,,,,,42.19968923,2.831790201
86,43,pt086,,,9,,42.21517776,2.368925508
88,44,pt088,BEGUDÀ,ES9171850001010E,,,42.204073,2.541845391
90,45,pt090,,,,,42.24751568,2.51459657
92,46,pt092,,,,,42.23039876,2.440227353
94,47,pt094,,,22,,42.33261101,2.437451171
96,48,pt096,,,52,,42.14696008,2.545186438
98,49,pt098,,,33,,42.1511396,2.586678881
100,50,pt100,,,34,,42.15553982,2.622939769
102,51,pt102,,,53,,42.15204079,2.767589312
104,52,pt104,,,39,,42.21323766,2.794377661
106,53,pt106,,,24,,42.22546212,2.67792654
108,54,pt108,,,51,,42.22037171,2.709738233
110,55,pt110,,,,,42.192069,2.853899283
112,56,pt112,,,,,42.15977372,2.683703662
114,57,pt114,,,,,42.11920726,2.67951505
116,58,pt116,,,32,,42.14053994,2.586555748
118,59,pt118,,,,,42.2173093,2.80915993
120,60,pt120,,,37,,42.18430304,2.781305102
122,61,pt122,,,25,,42.19646735,2.689572911
124,62,pt124,,,23,,42.24026035,2.659682269
126,63,pt126,,,,,42.14820694,2.58974629
128,64,pt128,SANT JOAN LES FONTS,ES9171850006010E,,,42.21614817,2.523293336
130,65,pt130,,,56,,42.2014753,2.535607325
132,66,pt132,,,,,42.17525173,2.484274795
134,67,pt134,,,,,42.15487266,2.456618666
136,68,pt136,,,1,,42.10983508,2.449448626
138,69,pt138,,,10,,42.22073392,2.442431789
140,70,pt140,,,4,,42.16300375,2.374283422
142,71,pt142,,,48,,42.20838212,2.447383049
144,72,pt144,,,55,,42.14049837,2.512674586
146,73,pt146,,,57,,42.23728832,2.422906758
148,74,pt148,,,58,,42.24318883,2.445461386
150,75,pt150,,,,,42.18651149,2.760420802
152,76,pt152,,,43,,42.16490407,2.915663214
154,77,pt154,,,,,42.14786864,2.450631061
156,78,pt156,,,3,,42.14314076,2.462435085
158,79,pt158,,,,,42.1756332,2.67727922
160,80,pt160,,,54,,42.11595697,2.589287069
162,81,pt162,,,,,42.32631283,2.58055389
164,82,pt164,,,46,,42.16853101,3.031506413
166,83,pt166,,,,,42.16583388,3.01698688
168,84,pt168,,,44,,42.1642367,2.926854926
170,85,pt170,,,,,42.16084797,2.908107635
172,86,pt172,,,42,,42.17702315,2.879950265
174,87,pt174,,,40,,42.17026076,2.86907365
176,88,pt176,,,,,42.17758418,2.79857179
178,89,pt178,,,29,,42.18991073,2.772208466
180,90,pt180,,,,,42.155036,2.606915014
182,91,pt182,,,26,,42.20227657,2.674715327
184,92,pt184,,,,,42.20875889,2.659851409
186,93,pt186,,,,,42.28385163,2.66558702
188,94,pt188,,,17,,42.2333458,2.608246151
190,95,pt190,,,18,,42.24300242,2.602735478
192,96,pt192,,,,,42.24773387,2.604522907
194,97,pt194,,,,,42.26280539,2.418584635
196,98,pt196,,,,,42.21920447,2.555963676
198,99,pt198,OLOT,ES9171140003010E,12,,42.20227959,2.490107748
200,100,pt200,,,,,42.21473994,2.459435396
202,101,pt202,,,,,42.27581197,2.590712985
204,102,pt204,,,7,,42.17978697,2.492103663
206,103,pt206,,,6,,42.17481798,2.487908367
208,104,pt208,,,5,,42.14740336,2.402557758
210,105,pt210,,,,,42.14461454,2.38505423
212,106,pt212,,,,,42.08720835,2.46589953
