id,lat,lon,edar_name,ind_id
671,41.54658781,1.873806919,,187
673,41.58629332,1.855700338,,189
675,41.63924468,1.854764011,,192
676,41.65367845,1.859738826,,602
678,41.52500608,1.873311253,,185
681,41.69603048,1.8450339,,203
682,41.70451263,1.843139208,EDAR MANRESA,204
688,41.5413745,1.690278197,,153
689,41.55113017,1.685729472,,154
691,41.54170768,1.662424009,,155
692,41.53568223,1.650366054,,156
693,41.53343271,1.626049445,EDAR CARME,
696,41.55624982,1.676051031,,157
697,41.56340018,1.672422963,,600
698,41.56640503,1.649726776,EDAR IGUALADA,
704,41.53689987,1.955771757,,176
706,41.68616561,1.776307868,,201
708,41.55006143,1.965133883,EDAR VILADECAVALLS (EST),178
709,41.68667926,1.763215299,,200
710,41.56253739,1.971028503,,179
712,41.6415226,1.886972253,,193
713,41.55286585,1.784047864,,182
714,41.67283871,1.753016296,,199
716,41.65364327,1.731593099,,198
717,41.57317991,1.919490309,EDAR VACARISSES,174
718,41.57880996,1.764405093,,183
719,41.53202043,1.791399227,"EDAR HOSTALETS DE PIEROLA, ELS",180
725,41.31333018,2.118045753,,96
727,41.44366132,1.985073932,,110
728,41.46771152,1.969052344,,117
730,41.49475508,1.923403637,,171
734,41.46849057,1.911668623,,120
735,41.46042119,1.8883364,,121
736,41.45039449,1.865913103,,128
738,41.43041688,1.829773322,,133
739,41.43271852,1.799324646,,142
741,41.4430322,1.78523184,,143
742,41.45078478,1.776397,,140
743,41.45982544,1.765797365,,149
744,41.49466068,1.722525552,EDAR PIERA,
747,41.50225887,2.031993869,,115
749,41.52167926,1.802901293,,181
754,41.44190206,1.740938943,,144
756,41.44381557,1.73655732,,599
758,41.45828613,1.685867634,,146
759,41.42368359,1.810783696,EDAR SANT SADURNÍ D'ANOIA,
766,41.41808943,1.776142356,,135
771,41.39904804,1.768684718,,136
773,41.39988164,1.988360465,,104
777,41.41334739,1.958621579,,105
778,41.49638514,1.59030865,,148
779,41.48239063,1.929694473,EDAR MARTORELL,169
781,41.41142647,1.705050917,,139
783,41.42765521,2.024415681,,108
784,41.38262489,2.03463839,EDAR SANT FELIU DE LLOBREGAT,
785,41.48600094,1.896594191,,170
789,41.46970265,1.835151967,EDAR SANT LLORENÇ D'HORTONS,
794,41.37960448,1.915756174,,107
799,41.39522688,2.056159185,,99
805,41.48585058,1.815733956,EDAR MASQUEFA,131
897,41.348722,2.046419123,,94
899,41.38749451,2.070162026,,98
900,41.4066306,2.012572099,,103
901,41.4359,1.994751986,,111
903,41.47290257,1.964623476,,596
904,41.46147265,2.003048844,EDAR RUBÍ,112
905,41.46879124,2.017714309,,583
906,41.49176187,2.027802279,,113
907,41.59306587,2.02279988,,116
909,41.39265333,1.721920222,,138
911,41.47441413,1.611648763,,147
912,41.48301898,1.7340571,,150
913,41.5120866,1.702176691,,151
916,41.58770655,1.682375274,,159
926,41.54059853,1.931345849,,173
928,41.56869227,1.796810112,,184
929,41.50872197,1.8144474,,177
930,41.61299135,1.84477418,,601
931,41.64647891,1.858994142,,195
1000,41.3919294,2.052733901,,100
1001,41.67128543,1.855068204,,197
1013,41.39953345,1.753045497,,141
1014,41.39555456,1.747911856,,137
1072,41.33737993,2.099503405,,97
1074,41.38710614,2.023285749,,102
1075,41.35205634,1.977821013,,101
1076,41.38772397,1.945139599,,106
1077,41.43454613,2.06688437,EDAR VALLVIDRERA,109
1078,41.41971359,2.013242554,,598
1079,41.51994718,2.036080082,EDAR TERRASSA,114
1080,41.46816847,1.947313614,,119
1081,41.47358977,1.831605062,,130
1082,41.43154631,1.812377724,,134
1083,41.44133366,1.74876997,EDAR RIUDEBITLLES,
1084,41.44687258,1.717380749,,145
1085,41.52374469,1.692373807,EDAR VALLBONA D'ANOIA,152
1087,41.56392265,1.661095363,,158
1091,41.52954127,1.937618415,,175
1092,41.50382582,1.914556036,EDAR ABRERA,
1093,41.50974231,1.917936461,,172
1094,41.53386514,1.910573391,,186
1095,41.57134395,1.864670614,,188
1096,41.59931564,1.850244216,EDAR MONISTROL DE MONTSERRAT,190
1098,41.62300538,1.865507434,EDAR CASTELLBELL I EL VILAR,191
1100,41.64789092,1.804925832,,194
1101,41.66025016,1.863110232,,196
1103,41.68222345,1.837431677,,202
1104,41.69484806,1.793589286,EDAR SANT SALVADOR DE GUARDIOLA,
1171,41.47543903,1.955889539,,118
1173,41.44177531,1.853898545,EDAR GELIDA,129
1175,41.43440978,1.836652036,,132
